지역,운행거리(평균),운행거리(총거리),운행대수,운행 총시간,지역내총생산(당해년가격),구성비,인구(추계인구),1인당 지역내총생산,수준지수(서울특별시=100),총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,주문인구수,대학교 학령인구(남),대학교 학령인구(여),대학교 학령인구(합계),인구,면적,인구밀도
종로구,9.767759135,91085.12176,5691,54414308,33780610,7.7,154458,218704,484.74,144275,6824,10379,22749,19354,20718,24880,20450,11652,6281,950,38,1783557,3944,1850,2094,153789,23.91,6431
중구,12.76505627,117758.204,5059,86457561,53823217,12.3,128923,417483,925.32,122173,6113,6537,18158,19820,17280,19936,18045,10289,5122,843,30,1499198,2420,1118,1302,131787,9.96,13231
용산구,12.75848548,85058.2213,3671,66316795,12695516,2.9,224419,56571,125.39,222169,12454,14589,32389,37648,33487,35994,29360,15964,8751,1456,77,2750634,4516,2204,2312,237285,21.87,10852
성동구,16.81324793,71915.78206,3938,87713513,12167850,2.8,303440,40100,88.88,285073,18898,19068,43051,46395,43079,45889,38046,20187,9236,1173,51,3519291,7061,3400,3661,292672,16.86,17359
광진구,10.91897209,53794.85841,3354,63975268,6587069,1.5,361711,18211,40.36,340707,17510,24773,61762,54736,50346,53851,44471,22147,9778,1278,55,4150557,8096,3887,4209,352627,17.06,20666
동대문구,10.70625616,52579.96846,7122,109180824,7555543,1.7,359223,21033,46.62,337982,19277,23163,56611,48661,48939,52097,47728,27463,12463,1513,67,4101673,8185,3806,4379,352006,14.22,24762
중랑구,15.15513878,59934.01684,5250,77911273,4741739,1.1,389498,12174,26.98,389043,21315,25306,54227,57667,55800,67138,61237,31448,13221,1617,67,4724002,7413,3775,3638,391885,18.5,21188
성북구,10.39707267,80852.66539,6299,101369793,6141921,1.4,442053,13894,30.8,433150,27146,36639,65936,58397,67516,69860,57218,32666,15622,2078,72,5247979,10516,4883,5633,440142,24.58,17909
강북구,9.560024057,50462.11236,4993,150119432,3283572,0.8,305659,10743,23.81,297384,13674,20585,40750,36597,43276,51441,47259,29328,12923,1506,45,3685243,5713,2744,2969,302563,23.6,12820
은평구,10.24884799,72645.93525,8034,88226393,4919715,1.1,464912,10582,23.45,472259,27055,36935,64742,66461,73698,77341,67455,38627,17727,2147,71,5744493,10379,5265,5114,477173,29.71,16061
서대문구,12.97834925,59869.38447,5335,92076753,8652191,2,320173,27023,59.9,305866,18654,22707,49047,44189,45232,48852,40045,23286,12199,1580,75,3729022,8084,3754,4330,315659,17.63,17908
마포구,11.97891838,63527.48748,3657,59627892,19943128,4.6,369130,54027,119.75,368331,23041,27754,61426,63038,59463,55226,41387,23418,11830,1677,71,4459168,8694,4089,4605,378686,23.85,15878
양천구,13.35429848,54113.91737,3806,91282558,7125314,1.6,443026,16083,35.65,446182,29047,49044,56764,55206,75997,76090,60875,29704,11642,1759,54,5450695,12030,6158,5872,450487,17.41,25882
강서구,13.6982442,61727.42045,4957,108107210,17458926,4,578578,30176,66.88,573046,35720,43188,85174,97561,89104,84017,79624,39986,16023,2560,89,6967584,13735,6900,6835,579768,41.45,13986
구로구,12.30721995,76255.04838,5280,79544164,14090156,3.2,431001,32692,72.46,396017,25255,29013,53660,60700,60998,62188,57586,32311,12691,1572,43,4838266,8210,4174,4036,421163,20.12,20933
금천구,10.96347962,61527.11479,8818,45640312,17614623,4,248970,70750,156.81,231098,11379,13817,37239,36793,31535,39101,34902,18159,7250,890,33,2774416,4421,2231,2190,244891,13.02,18808
영등포구,15.49162358,85162.89061,10741,150744380,36095497,8.3,394163,91575,202.97,376740,24226,23651,58654,69346,55371,56181,48323,27065,12295,1575,53,4530436,6762,3454,3308,400908,24.55,16331
동작구,13.79877286,117280.6792,4371,116126369,6527100,1.5,402977,16197,35.9,386017,22497,27305,64975,60599,57143,58127,50592,29852,13035,1796,96,4692199,9087,4414,4673,394364,16.36,24113
관악구,16.13191658,72702.18944,4618,74245880,5963769,1.4,511328,11663,25.85,486375,19261,27211,109048,85509,65188,66811,59999,36808,14779,1690,71,5931145,10106,4791,5315,499449,29.57,16891
서초구,14.76264553,96238.63023,6675,49820104,35570338,8.2,405612,87695,194.37,409823,30949,44281,51368,58595,74577,62637,47997,27045,10493,1784,97,5085310,11320,5731,5589,416167,46.98,8858
강남구,10.60721575,46401.38738,4840,69327720,71852681,16.5,508287,141362,313.32,532577,34193,59284,69919,77015,97576,82356,61547,35302,12994,2286,105,6447676,15785,8031,7754,537800,39.5,13616
송파구,9.587063508,35094.84831,4693,100174270,29962528,6.9,650895,46033,102.03,662607,48426,58127,89869,106608,108458,102400,88254,42304,15459,2608,94,7990982,16281,8274,8007,663965,33.88,19599
강동구,13.1428901,48181.05385,5937,53195342,9348668,2.1,409903,22807,50.55,461300,33590,38763,59688,70242,74793,71537,67021,32087,11620,1880,79,5536237,8441,4474,3967,466472,24.59,18970
도봉구,12.65923643,49513.9131,5802,49852948,3404872,0.8,326198,10438,23.14,316098,16627,24005,40950,38898,45710,55824,51747,27569,12945,1733,90,3893748,6232,3154,3078,319373,20.65,15465
노원구,12.78926169,54740.65372,5592,142538008,6620672,1.5,527504,12551,27.82,510486,30040,50479,69816,62757,81089,86851,71321,37568,17846,2631,88,6261907,13265,6736,6529,514946,35.44,14530
